,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
784,0,3,0,25.0,0,0,7.05,0
785,0,3,0,25.0,0,0,7.25,0
786,1,3,1,18.0,0,0,7.4958,0
787,0,3,0,8.0,4,1,29.125,2
788,1,3,0,1.0,1,2,20.575,0
789,0,1,0,46.0,0,0,79.2,1
791,0,2,0,16.0,0,0,26.0,0
794,0,3,0,25.0,0,0,7.8958,0
795,0,2,0,39.0,0,0,13.0,0
796,1,1,1,49.0,0,0,25.9292,0
797,1,3,1,31.0,0,0,8.6833,0
798,0,3,0,30.0,0,0,7.2292,1
799,0,3,1,30.0,1,1,24.15,0
800,0,2,0,34.0,0,0,13.0,0
801,1,2,1,31.0,1,1,26.25,0
802,1,1,0,11.0,1,2,120.0,0
803,1,3,0,0.42,0,1,8.5167,1
804,1,3,0,27.0,0,0,6.975,0
805,0,3,0,31.0,0,0,7.775,0
806,0,1,0,39.0,0,0,0.0,0
807,0,3,1,18.0,0,0,7.775,0
808,0,2,0,39.0,0,0,13.0,0
809,1,1,1,33.0,1,0,53.1,0
810,0,3,0,26.0,0,0,7.8875,0
811,0,3,0,39.0,0,0,24.15,0
812,0,2,0,35.0,0,0,10.5,0
813,0,3,1,6.0,4,2,31.275,0
814,0,3,0,30.5,0,0,8.05,0
816,0,3,1,23.0,0,0,7.925,0
817,0,2,0,31.0,1,1,37.0042,1
818,0,3,0,43.0,0,0,6.45,0
819,0,3,0,10.0,3,2,27.9,0
820,1,1,1,52.0,1,1,93.5,0
821,1,3,0,27.0,0,0,8.6625,0
822,0,1,0,38.0,0,0,0.0,0
823,1,3,1,27.0,0,1,12.475,0
824,0,3,0,2.0,4,1,39.6875,0
827,1,2,0,1.0,0,2,37.0042,1
829,1,1,1,62.0,0,0,80.0,2
830,1,3,1,15.0,1,0,14.4542,1
831,1,2,0,0.83,1,1,18.75,0
833,0,3,0,23.0,0,0,7.8542,0
834,0,3,0,18.0,0,0,8.3,0
835,1,1,1,39.0,1,1,83.1583,1
836,0,3,0,21.0,0,0,8.6625,0
838,1,3,0,32.0,0,0,56.4958,0
840,0,3,0,20.0,0,0,7.925,0
841,0,2,0,16.0,0,0,10.5,0
842,1,1,1,30.0,0,0,31.0,1
843,0,3,0,34.5,0,0,6.4375,1
844,0,3,0,17.0,0,0,8.6625,0
845,0,3,0,42.0,0,0,7.55,0
847,0,3,0,35.0,0,0,7.8958,1
848,0,2,0,28.0,0,1,33.0,0
850,0,3,0,4.0,4,2,31.275,0
851,0,3,0,74.0,0,0,7.775,0
852,0,3,1,9.0,1,1,15.2458,1
853,1,1,1,16.0,0,1,39.4,0
854,0,2,1,44.0,1,0,26.0,0
855,1,3,1,18.0,0,1,9.35,0
856,1,1,1,45.0,1,1,164.8667,0
857,1,1,0,51.0,0,0,26.55,0
858,1,3,1,24.0,0,3,19.2583,1
860,0,3,0,41.0,2,0,14.1083,0
861,0,2,0,21.0,1,0,11.5,0
862,1,1,1,48.0,0,0,25.9292,0
864,0,2,0,24.0,0,0,13.0,0
865,1,2,1,42.0,0,0,13.0,0
866,1,2,1,27.0,1,0,13.8583,1
867,0,1,0,31.0,0,0,50.4958,0
869,1,3,0,4.0,1,1,11.1333,0
870,0,3,0,26.0,0,0,7.8958,0
871,1,1,1,47.0,1,1,52.5542,0
872,0,1,0,33.0,0,0,5.0,0
873,0,3,0,47.0,0,0,9.0,0
874,1,2,1,28.0,1,0,24.0,1
875,1,3,1,15.0,0,0,7.225,1
876,0,3,0,20.0,0,0,9.8458,0
877,0,3,0,19.0,0,0,7.8958,0
879,1,1,1,56.0,0,1,83.1583,1
880,1,2,1,25.0,0,1,26.0,0
881,0,3,0,33.0,0,0,7.8958,0
882,0,3,1,22.0,0,0,10.5167,0
883,0,2,0,28.0,0,0,10.5,0
884,0,3,0,25.0,0,0,7.05,0
885,0,3,1,39.0,0,5,29.125,2
886,0,2,0,27.0,0,0,13.0,0
887,1,1,1,19.0,0,0,30.0,0
889,1,1,0,26.0,0,0,30.0,1
890,0,3,0,32.0,0,0,7.75,2
